="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.87225",=".4203075",="0",="3"
="age",="36.83917",="8.356658",="25",="55"
="female",=".5118721",=".4998614",="0",="1"
="white",=".6091734",=".4879379",="0",="1"
="black",=".0306379",=".1723354",="0",="1"
="asianpi",=".1056105",=".3073399",="0",="1"
="other",=".2014068",=".4010531",="0",="1"
="multi",=".0531714",=".2243762",="0",="1"
="hispdum",=".4519836",=".4976914",="0",="1"
="yrssch",="13.75288",="2.956147",="0",="20"
="marriedpresent",=".588234",=".4921555",="0",="1"
="divorced",=".1072601",=".3094452",="0",="1"
="evermarried",=".7567636",=".4290387",="0",="1"
="nchild",="1.141432",="1.279355",="0",="9"
="haskid",=".5540421",=".4970732",="0",="1"
="singleparent",=".1006974",=".300929",="0",="1"
="nevermarried_haskid",=".0275753",=".1637532",="0",="1"
="share_bpld_minusself",=".0514001",=".0956237",="0",=".4880442"
="abovemean_bpld2",=".3116",=".4631499",="0",="1"
="ancestpct_minusself",=".1059805",=".1461589",="0",=".735508"
="abovemean_ancestry2",=".35221",=".4776618",="0",="1"
="N",="106890",="",="",=""
