="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.980831",=".1665442",="0",="3"
="age",="38.90563",="8.387164",="25",="55"
="female",=".5129425",=".4998455",="0",="1"
="white",=".7656241",=".4236191",="0",="1"
="black",=".1640271",=".3703098",="0",="1"
="asianpi",=".0239012",=".1527453",="0",="1"
="other",=".0155428",=".1237014",="0",="1"
="multi",=".0309048",=".1730643",="0",="1"
="hispdum",=".0122179",=".1098603",="0",="1"
="yrssch",="14.59304",="2.446115",="0",="20"
="marriedpresent",=".5843406",=".4928482",="0",="1"
="divorced",=".1230343",=".3284852",="0",="1"
="evermarried",=".7554436",=".4298351",="0",="1"
="nchild",=".9694233",="1.174818",="0",="9"
="haskid",=".5022431",=".500008",="0",="1"
="singleparent",=".0931879",=".2907031",="0",="1"
="nevermarried_haskid",=".0281293",=".1653464",="0",="1"
="share_bpld_minusself",=".0061931",=".0149613",="0",=".1649889"
="abovemean_bpld2",=".3474912",=".4761882",="0",="1"
="ancestpct_minusself",=".0466625",=".0631978",="0",=".7353011"
="abovemean_ancestry2",=".3639262",=".4811437",="0",="1"
="N",="19217",="",="",=""
