="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.980476",=".1674883",="0",="3"
="age",="38.40262",="8.367225",="25",="55"
="female",=".5277947",=".4992365",="0",="1"
="white",=".6658409",=".4717048",="0",="1"
="black",=".247414",=".4315177",="0",="1"
="asianpi",=".0277662",=".1643054",="0",="1"
="other",=".0187988",=".1358164",="0",="1"
="multi",=".0401801",=".1963852",="0",="1"
="hispdum",=".0120103",=".1089336",="0",="1"
="yrssch",="14.52655",="2.451902",="0",="20"
="marriedpresent",=".5612445",=".4962446",="0",="1"
="divorced",=".1200033",=".3249717",="0",="1"
="evermarried",=".7355694",=".4410381",="0",="1"
="nchild",=".9738589",="1.178092",="0",="9"
="haskid",=".5063078",=".4999699",="0",="1"
="singleparent",=".1066438",=".3086658",="0",="1"
="nevermarried_haskid",=".0375743",=".190168",="0",="1"
="share_bpld_minusself",=".0082219",=".0194917",="0",=".1649889"
="abovemean_bpld2",=".3505669",=".4771585",="0",="1"
="ancestpct_minusself",=".0438068",=".0619471",="0",=".7353011"
="abovemean_ancestry2",=".3623786",=".4806992",="0",="1"
="N",="25906",="",="",=""
