="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.440772",=".796793",="0",="3"
="age",="36.02527",="8.043767",="25",="55"
="female",=".4780736",=".4995233",="0",="1"
="white",=".4541547",=".497898",="0",="1"
="black",=".029658",=".1696434",="0",="1"
="asianpi",=".1536737",=".3606388",="0",="1"
="other",=".3098374",=".4624303",="0",="1"
="multi",=".0526762",=".2233882",="0",="1"
="hispdum",=".6439643",=".47883",="0",="1"
="yrssch",="12.01352",="3.993652",="0",="20"
="marriedpresent",=".6321225",=".4822319",="0",="1"
="divorced",=".0774526",=".2673105",="0",="1"
="evermarried",=".7869083",=".4094954",="0",="1"
="nchild",="1.43593",="1.439932",="0",="9"
="haskid",=".628146",=".4833038",="0",="1"
="singleparent",=".1009308",=".3012397",="0",="1"
="nevermarried_haskid",=".032591",=".1775651",="0",="1"
="share_bpld_minusself",=".0813047",=".1117209",="0",=".4880442"
="abovemean_bpld2",=".3769663",=".4846313",="0",="1"
="ancestpct_minusself",=".1285033",=".1661172",="0",=".6925714"
="abovemean_ancestry2",=".3844848",=".4864785",="0",="1"
="N",="58738",="",="",=""
