="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.754223",=".5851178",="0",="3"
="age",="36.80163",="8.295384",="25",="55"
="female",=".5036406",=".4999881",="0",="1"
="white",=".569191",=".4951908",="0",="1"
="black",=".0598547",=".237218",="0",="1"
="asianpi",=".1097994",=".3126404",="0",="1"
="other",=".2099049",=".4072416",="0",="1"
="multi",=".05125",=".2205078",="0",="1"
="hispdum",=".4511446",=".4976087",="0",="1"
="yrssch",="13.32843",="3.374682",="0",="20"
="marriedpresent",=".598028",=".4902976",="0",="1"
="divorced",=".0998466",=".2997962",="0",="1"
="evermarried",=".7631284",=".425164",="0",="1"
="nchild",="1.20923",="1.327824",="0",="9"
="haskid",=".5703437",=".4950283",="0",="1"
="singleparent",=".1015798",=".3020957",="0",="1"
="nevermarried_haskid",=".0304784",=".1719",="0",="1"
="share_bpld_minusself",=".0546737",=".0974088",="0",=".4880442"
="abovemean_bpld2",=".336983",=".4726805",="0",="1"
="ancestpct_minusself",=".104515",=".1469468",="0",=".735508"
="abovemean_ancestry2",=".3635943",=".4810353",="0",="1"
="N",="191534",="",="",=""
