="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.979495",=".1700766",="1",="3"
="age",="37.01371",="8.152926",="25",="55"
="female",=".5688053",=".4952802",="0",="1"
="white",=".3903162",=".4878576",="0",="1"
="black",=".4776649",=".4995382",="0",="1"
="asianpi",=".0384384",=".1922664",="0",="1"
="other",=".0277892",=".1643807",="0",="1"
="multi",=".0657914",=".2479356",="0",="1"
="hispdum",=".011437",=".1063386",="0",="1"
="yrssch",="14.34192",="2.458671",="0",="20"
="marriedpresent",=".4972327",=".5000301",="0",="1"
="divorced",=".1116029",=".314901",="0",="1"
="evermarried",=".6804871",=".4663231",="0",="1"
="nchild",=".9861067",="1.187088",="0",="9"
="haskid",=".5175313",=".4997299",="0",="1"
="singleparent",=".1439375",=".3510528",="0",="1"
="nevermarried_haskid",=".0637516",=".2443283",="0",="1"
="share_bpld_minusself",=".0138302",=".0277249",="0",=".1649889"
="abovemean_bpld2",=".359069",=".4797704",="0",="1"
="ancestpct_minusself",=".0359595",=".0576542",="0",=".6934223"
="abovemean_ancestry2",=".3581257",=".4794947",="0",="1"
="N",="6689",="",="",=""
